Wavelength,Albedo
0.1,3.1220607e-08
0.1001333333,3.2169023e-08
0.1002668444,3.3189702e-08
0.1004005336,3.4298766e-08
0.1005344009,3.5483318e-08
0.1006684468,3.6753934e-08
0.1008026714,3.8161118e-08
0.100937075,3.9762486e-08
0.1010716577,4.1473789e-08
0.10120642,4.3357869e-08
0.1013413618,4.5445289e-08
0.1014764837,4.7777015e-08
0.1016117856,5.0409599e-08
0.101747268,5.3371664e-08
0.101882931,5.6743219e-08
0.102018775,6.0548065e-08
0.1021548,6.5090207e-08
0.1022910064,7.0469315e-08
0.1024273944,7.6850592e-08
0.1025639643,8.4592247e-08
0.1027007162,9.4158193e-08
0.1028376505,1.0636718e-07
0.1029747674,7.2302266e-07
0.103112067,7.2937938e-07
0.1032495498,7.3086522e-07
0.1033872159,7.2518585e-07
0.1035250655,7.2156486e-07
0.1036630989,7.3252213e-07
0.1038013164,7.4981153e-07
0.1039397181,7.5364202e-07
0.1040783044,7.5735521e-07
0.1042170755,7.6146724e-07
0.1043560316,7.6827336e-07
0.104495173,7.7295738e-07
0.1046344999,7.7469577e-07
0.1047740125,7.6716314e-07
0.1049137112,7.8195882e-07
0.1050535962,7.9524361e-07
0.1051936676,8.0048355e-07
0.1053339259,8.0057782e-07
0.1054743711,8.0430956e-07
0.1056150036,8.173967e-07
0.1057558236,8.2570929e-07
0.1058968314,8.2962034e-07
0.1060380271,8.2451591e-07
0.1061794112,8.3928339e-07
0.1063209837,8.5354405e-07
0.106462745,8.6348855e-07
0.1066046954,8.7181973e-07
0.1067468349,8.6845534e-07
0.1068891641,8.8150209e-07
0.1070316829,8.9398735e-07
0.1071743919,9.0639744e-07
0.107317291,8.9774813e-07
0.1074603808,9.1600054e-07
0.1076036613,9.2868784e-07
0.1077471328,9.4789671e-07
0.1078907957,9.6049365e-07
0.1080346501,9.6933648e-07
0.1081786963,9.7825736e-07
0.1083229345,9.8630969e-07
0.1084673651,1.0086086e-06
0.1086119883,1.025954e-06
0.1087568042,9.5981526e-07
0.1089018133,9.6661455e-07
0.1090470157,1.0531474e-06
0.1091924117,1.0790532e-06
0.1093380016,1.0984928e-06
0.1094837856,1.1213057e-06
0.109629764,1.1408967e-06
0.109775937,1.1602673e-06
0.1099223049,1.1806385e-06
0.110068868,1.2010858e-06
0.1102156265,1.2188371e-06
0.1103625807,1.2417843e-06
0.1105097308,1.2686247e-06
0.1106570771,1.2981856e-06
0.1108046199,1.3245432e-06
0.1109523594,1.3466919e-06
0.1111002958,1.3518884e-06
0.1112484296,1.3774636e-06
0.1113967608,1.4206997e-06
0.1115452898,1.454141e-06
0.1116940169,1.4868147e-06
0.1118429422,1.5030161e-06
0.1119920662,1.4761996e-06
0.1121413889,1.3751862e-06
0.1122909108,1.5048113e-06
0.112440632,1.7059713e-06
0.1125905528,1.7457517e-06
0.1127406736,1.7122677e-06
0.1128909945,1.7336453e-06
0.1130415158,1.9053403e-06
0.1131922378,2.1241057e-06
0.1133431608,2.2281761e-06
0.113494285,2.3424799e-06
0.1136456107,2.492827e-06
0.1137971382,2.6717771e-06
0.1139488677,2.7740885e-06
0.1141007995,2.885944e-06
0.1142529339,3.1260531e-06
0.1144052712,3.4260055e-06
0.1145578115,3.7265523e-06
0.1147105553,4.0543845e-06
0.1148635027,4.4067439e-06
0.115016654,2.5488885e-06
0.1151700096,6.9310819e-07
0.1153235696,5.8328417e-07
0.1154773343,1.1856568e-06
0.1156313041,3.2651713e-05
0.1157854792,3.3304812e-05
0.1159398598,5.7754536e-05
0.1160944463,5.5289419e-06
0.1162492389,1.1181383e-06
0.1164042379,1.1771716e-06
0.1165594435,7.5048005e-06
0.1167148561,4.012698e-05
0.1168704759,2.0988655e-05
0.1170263032,8.7913115e-06
0.1171823383,2.0861819e-06
0.1173385814,1.2160608e-06
0.1174950329,1.5734769e-06
0.1176516929,2.7328742e-06
0.1178085618,6.0835642e-06
0.1179656399,6.6544969e-06
0.1181229274,7.3025666e-06
0.1182804247,1.8531955e-05
0.1184381319,1.676866e-05
0.1185960494,2.1046515e-05
0.1187541775,2.1969958e-05
0.1189125164,2.0428568e-05
0.1190710664,6.3495705e-06
0.1192298278,8.5209975e-06
0.1193888009,3.2457654e-06
0.119547986,2.3551855e-06
0.1197073833,1.6351146e-06
0.1198669932,1.1684218e-06
0.1200268158,6.9896985e-07
0.1201868516,4.2589071e-07
0.1203471007,2.087609e-07
0.1205075635,1.0354112e-07
0.1206682403,1.1561237e-07
0.1208291313,1.7280764e-07
0.1209902368,5.7392899e-07
0.1211515571,1.5774293e-06
0.1213130925,4.4923236e-06
0.1214748433,1.2044801e-05
0.1216368097,1.1690184e-05
0.1217989921,7.7152077e-06
0.1219613908,1.1330012e-05
0.122124006,6.0441631e-06
0.122286838,5.6388544e-06
0.1224498871,5.9528721e-06
0.1226131536,4.7109752e-06
0.1227766378,3.913083e-06
0.12294034,4.7111386e-06
0.1231042605,3.2070498e-06
0.1232683995,2.3604631e-06
0.1234327574,2.7383327e-06
0.1235973344,2.8611233e-06
0.1237621308,2.9416344e-06
0.123927147,3.8738727e-06
0.1240923832,4.0058857e-06
0.1242578397,1.3052142e-07
0.1244235168,3.7112113e-08
0.1245894148,2.7857283e-07
0.1247555341,7.461595e-07
0.1249218748,8.989623e-07
0.1250884373,1.1029922e-06
0.1252552218,1.4743156e-06
0.1254222288,1.6949774e-06
0.1255894584,2.1184011e-06
0.1257569111,2.2620729e-06
0.1259245869,3.1016215e-06
0.1260924864,3.6773856e-06
0.1262606097,3.0170735e-06
0.1264289572,8.076107e-06
0.1265975291,7.6533638e-06
0.1267663258,8.9933161e-06
0.1269353476,7.6138234e-06
0.1271045947,2.6641543e-05
0.1272740675,8.1746596e-06
0.1274437663,6.3078328e-06
0.1276136913,4.9784009e-06
0.1277838429,4.971644e-06
0.1279542213,4.1245158e-06
0.128124827,3.0481784e-06
0.1282956601,3.201518e-06
0.128466721,2.7864229e-06
0.1286380099,2.5623747e-06
0.1288095273,2.1471317e-06
0.1289812733,2.2573267e-06
0.1291532483,2.3788024e-06
0.1293254527,1.8096132e-06
0.1294978866,2.4383178e-06
0.1296705505,2.2895723e-06
0.1298434445,2.1877537e-06
0.1300165691,2.5404944e-06
0.1301899245,2.7187881e-06
0.1303635111,2.8184977e-06
0.1305373291,3.182688e-06
0.1307113789,3.9991687e-06
0.1308856607,3.4676937e-06
0.1310601749,3.6925016e-06
0.1312349218,2.8491427e-06
0.1314099017,2.2227894e-06
0.1315851149,1.6658782e-06
0.1317605618,1.3365371e-06
0.1319362425,1.0639281e-06
0.1321121575,8.5824514e-07
0.132288307,7.1829228e-07
0.1324646915,6.3114105e-07
0.132641311,5.5350742e-07
0.1328181661,5.3444165e-07
0.132995257,4.7704671e-07
0.133172584,4.6470586e-07
0.1333501475,4.5546634e-07
0.1335279477,4.7897628e-07
0.1337059849,4.4953356e-07
0.1338842596,4.6317686e-07
0.1340627719,4.6705534e-07
0.1342415223,4.4395076e-07
0.134420511,4.0073897e-07
0.1345997383,3.2495928e-07
0.1347792046,2.5202238e-07
0.1349589102,1.9858176e-07
0.1351388555,1.6218944e-07
0.1353190406,1.4254425e-07
0.135499466,1.3722709e-07
0.1356801319,1.4038276e-07
0.1358610388,1.3585585e-07
0.1360421868,1.3004374e-07
0.1362235764,1.1967322e-07
0.1364052079,1.0760616e-07
0.1365870815,9.7733952e-08
0.1367691976,8.8439262e-08
0.1369515565,8.295881e-08
0.1371341586,7.9132608e-08
0.1373170041,7.4683183e-08
0.1375000935,7.3089552e-08
0.1376834269,7.1310757e-08
0.1378670048,6.9080388e-08
0.1380508275,6.8236367e-08
0.1382348953,6.6922008e-08
0.1384192085,6.5974082e-08
0.1386037674,6.5593653e-08
0.1387885724,6.4242206e-08
0.1389736239,6.3825206e-08
0.139158922,6.2820457e-08
0.1393444673,6.2114348e-08
0.1395302599,6.2072035e-08
0.1397163002,6.1243579e-08
0.1399025886,6.0860922e-08
0.1400891254,6.007882e-08
0.1402759109,5.9477605e-08
0.1404629455,5.9393683e-08
0.1406502294,5.8904908e-08
0.140837763,5.8639296e-08
0.1410255467,5.8241892e-08
0.1412135808,5.7697667e-08
0.1414018655,5.7762397e-08
0.1415904014,5.7058322e-08
0.1417791886,5.620887e-08
0.1419682275,5.6380554e-08
0.1421575185,5.5666287e-08
0.1423470618,5.5746082e-08
0.1425368579,5.5173354e-08
0.142726907,5.5406169e-08
0.1429172096,5.5165635e-08
0.1431077659,5.4703109e-08
0.1432985762,5.4116834e-08
0.143489641,5.4520179e-08
0.1436809605,5.4470666e-08
0.1438725351,5.3995743e-08
0.1440643652,5.3814141e-08
0.144256451,5.3738843e-08
0.1444487929,5.3376992e-08
0.1446413913,5.3511639e-08
0.1448342465,5.3324725e-08
0.1450273588,5.3279767e-08
0.1452207286,5.3023108e-08
0.1454143563,5.3435251e-08
0.1456082421,5.3213391e-08
0.1458023864,5.3046955e-08
0.1459967896,5.3043957e-08
0.146191452,5.2825449e-08
0.1463863739,5.3224695e-08
0.1465815557,5.3262813e-08
0.1467769978,5.3415384e-08
0.1469727005,5.3215841e-08
0.1471686641,5.3657803e-08
0.147364889,5.3325073e-08
0.1475613755,5.3747859e-08
0.147758124,5.3462127e-08
0.1479551348,5.4471692e-08
0.1481524083,5.4242144e-08
0.1483499449,5.4194131e-08
0.1485477448,5.452272e-08
0.1487458085,5.4549928e-08
0.1489441362,5.4860091e-08
0.1491427284,5.4934632e-08
0.1493415854,5.5193501e-08
0.1495407075,5.5415875e-08
0.1497400951,5.5931918e-08
